,popup,Plant state abbreviation_x,lat,lon,Plant state abbreviation_y,plant_annual_generation,state_annual_generation,perc_gen_state
460,Ameresco Johnson Canyon,CA,36.534167,-121.408611,CA,9428,196943237.0,0.0047871661619941
461,Ameresco Keller Canyon,CA,38.003928,-121.934491,CA,29414,196943237.0,0.0149352678711176
462,Ameresco Ox Mountain,CA,37.5,-122.4,CA,86712,196943237.0,0.0440289300210902
463,Ameresco San Joaquin,CA,38.029722,-120.929722,CA,27676,196943237.0,0.0140527800911488
464,Ameresco Santa Cruz Energy,CA,36.9178,-121.8156,CA,18546,196943237.0,0.0094169265634645
465,Ameresco Vasco Road,CA,37.754444,-121.728889,CA,33794,196943237.0,0.0171592589391632
466,American Canyon Solar,CA,38.160858,-122.214014,CA,7164,196943237.0,0.0036375963496527
467,"American Kings Solar, LLC",CA,36.24,-119.898,CA,310329,196943237.0,0.1575728137341421
468,Ampersand Chowchilla Biomass LLC,CA,37.106668,-120.248504,CA,60166,196943237.0,0.0305499193150765
469,Anaheim Solar Energy Plant,CA,33.8025,-117.919722,CA,3193,196943237.0,0.0016212793333949
470,Angels,CA,38.071944,-120.539444,CA,3507,196943237.0,0.0017807161359899
471,Anheuser-Busch #2,CA,38.233611,-122.0925,CA,4539,196943237.0,0.0023047249903788
472,Antelope Big Sky Ranch,CA,34.694839,-118.28769,CA,51042,196943237.0,0.0259171123504992
473,Antelope DSR 1,CA,34.655556,-118.280722,CA,131210,196943237.0,0.0666232575429843
474,Antelope DSR 2,CA,34.686944,-118.311722,CA,14213,196943237.0,0.0072168002397563
475,Antelope DSR 3,CA,34.736859,-118.304071,CA,59016,196943237.0,0.0299659947195851
476,Antelope Expansion 2,CA,34.744977,-118.309153,CA,254647,196943237.0,0.1292996925809643
