,Plant name,Plant state abbreviation,plant_annual_generation,state_annual_generation,perc_gen_state
712,Baker Creek Hydroelectric,CA,1836,196943237,0.0009322483107150311
713,Baker PV 1,NC,8928,129720625,0.006882483028431292
714,Baker Point,MD,13810,38166683,0.036183390628942005
715,Bakersfield 111,CA,2753,196943237,0.0013978647055547279
716,Bakersfield College Solar 01,CA,2140,196943237,0.0010866075081318988
717,Bakersfield Industrial PV 1,CA,2128,196943237,0.0010805143819180752
718,Bakersfield PV 1,CA,10104,196943237,0.005130412272039583
719,Bakke,TX,0,481398138,0.0
720,Balch 1,CA,36687,196943237,0.018628210117212607
721,Balch 2,CA,120506,196943237,0.06118818896025356
722,Baldock Solar Highway,OR,1911,61016793,0.0031319246817839144
723,Baldwin City Plant No 1,KS,27,56572967,4.772597484590122e-05
724,Baldwin City Plant No 2,KS,448,56572967,0.0007918976567023611
725,Baldwin Energy Complex,IL,6885339,181296239,3.797838850920675
726,Baldwin Wind LLC,ND,392373,43032351,0.9118093501328802
727,Balko Wind LLC,OK,1058701,80754539,1.3110111370953403
728,Ball Mountain Hydro,VT,2268,2107642,0.10760840787951655
729,Ballenger Road Solar A,SC,3777,98113889,0.003849607877636978
730,Ballston Solar LLC,OR,3792,61016793,0.006214682571075146
731,Balm Solar,FL,149124,246185183,0.060573913581143515
